广东频道,#genre#
广东珠江,http://116.23.99.235:50000/rtp/239.77.0.3:5146$720x576
广东体育,http://113.66.41.152:10000/rtp/239.77.0.6:5146$720x576
广东新闻,http://113.66.41.152:10000/rtp/239.77.0.4:5146$720x576
佛山影视,http://113.87.227.200:5000/rtp/239.253.43.56:5146$1920x1080
央视频道,#genre#
CCTV-1,http://113.66.41.152:10000/rtp/239.77.0.14:5146$720x576
CCTV-1,http://123.146.162.24:8013/tslslive/noEX9SG/hls/live_sd.m3u8$720x576
CCTV-2,http://113.66.41.152:10000/rtp/239.77.0.31:5146$720x576
CCTV-2,http://113.87.227.200:5000/rtp/239.253.43.17:5146$1920x1080
CCTV-2,https://cntv.lat/tv/live.php?auth=231110&id=cctv2$1280x720
CCTV-4,http://113.66.41.152:10000/rtp/239.77.0.33:5146$720x576
CCTV-4,http://113.87.227.200:5000/rtp/239.77.1.166:5146$1920x1080
CCTV-5,http://113.66.41.152:10000/rtp/239.77.0.170:5146$1920x1080
CCTV-5+,http://113.87.227.200:5000/rtp/239.77.0.87:5146$1920x1080
CCTV-5+,http://116.23.99.235:50000/rtp/239.77.0.87:5146$1920x1080
CCTV-6,http://113.87.227.200:5000/rtp/239.77.0.178:5146$1920x1080
CCTV-7,http://113.66.41.152:10000/rtp/239.77.0.36:5146$720x576
CCTV-7,http://113.87.227.200:5000/rtp/239.77.1.167:5146$1920x1080
CCTV-8,http://113.66.41.152:10000/rtp/239.77.0.37:5146$720x576
CCTV-9,http://113.66.41.152:10000/rtp/239.77.0.38:5146$720x576
CCTV-9,http://nas.hssvm.com:8888/udp/225.1.1.119:5002$1920x1080
CCTV-10,http://113.66.41.152:10000/rtp/239.77.1.169:5146$1920x1080
CCTV-11,http://113.87.227.200:5000/rtp/239.77.1.42:5146$720x576
CCTV-11,http://113.66.41.152:10000/rtp/239.77.0.40:5146$720x576
CCTV-11,https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8$426x240
CCTV-12,http://113.66.41.152:10000/rtp/239.77.0.41:5146$720x576
CCTV-13,http://113.66.41.152:10000/rtp/239.77.0.42:5146$720x576
CCTV-13,http://113.87.227.200:5000/rtp/239.253.43.196:5146$1920x1080
CCTV-13,http://113.87.227.200:5000/rtp/239.77.0.42:5146$720x576
CCTV-14,http://113.66.41.152:10000/rtp/239.77.0.43:5146$720x576
CCTV-14,http://113.94.58.61:10010/rtp/239.77.0.43:5146$720x576
CCTV-15,http://113.66.41.152:10000/rtp/239.77.0.44:5146$720x576
CCTV-16,http://113.66.41.152:10000/rtp/239.77.0.165:5146$1920x1080
CCTV-16,http://114.243.99.53:4000/rtp/239.3.1.184:8001$1920x1080
卫视频道,#genre#
广东卫视,http://113.87.227.200:5000/rtp/239.77.0.2:5146$720x576
广东卫视,http://218.15.214.115:10000/udp/239.77.0.84:5146$1920x1080
浙江卫视,http://113.87.227.200:5000/rtp/239.77.1.150:5146$1920x1080
浙江卫视,http://113.87.227.200:5000/rtp/239.77.1.33:5146$1920x1080
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$1920x1080
湖北卫视,http://113.87.227.200:5000/rtp/239.77.1.174:5146$1920x1080
黑龙江卫视,http://113.66.41.152:10000/rtp/239.77.0.93:5146$1920x1080
黑龙江卫视,http://l.cztvcloud.com/channels/lantian/SXyuyao3/720p.m3u8$720x576
东南卫视,http://113.87.227.200:5000/rtp/239.77.0.146:5146$1920x1080
甘肃卫视,http://113.87.227.200:5000/rtp/239.77.1.57:5146$720x576
广西卫视,http://171.107.72.19:4000/udp/239.81.0.107:4056$1920x1080
广西卫视,http://113.87.227.200:5000/rtp/239.77.0.139:5146$1920x1080
广西卫视,http://www.dsmcloud.top:8888/udp/239.81.0.107:4056$1920x1080
贵州卫视,http://113.87.227.200:5000/rtp/239.77.0.230:5146$1920x1080
海南卫视,http://113.87.227.200:5000/rtp/239.253.43.35:5146$1920x1080
河北卫视,http://113.87.227.200:5000/rtp/239.77.1.214:5146$1920x1080
河北卫视,http://113.87.227.200:5000/rtp/239.77.0.148:5146$1920x1080
河南卫视,http://113.87.227.200:5000/rtp/239.77.0.17:5146$1920x1080
吉林卫视,http://113.87.227.200:5000/rtp/239.77.0.150:5146$1920x1080
江苏卫视,http://183.31.11.72:8000/rtp/239.77.1.149:5146$1920x1080
江西卫视,http://113.87.227.200:5000/rtp/239.77.0.149:5146$1920x1080
辽宁卫视,http://113.87.227.200:5000/rtp/239.77.0.123:5146$1920x1080
内蒙古卫视,http://113.87.227.200:5000/rtp/239.77.1.55:5146$720x576
内蒙古卫视,http://113.94.58.61:10010/rtp/239.77.0.70:5146$720x576
内蒙古卫视,http://113.87.227.200:5000/rtp/239.77.0.70:5146$720x576
宁夏卫视,http://113.87.227.200:5000/rtp/239.77.1.47:5146$720x576
宁夏卫视,http://113.87.227.200:5000/rtp/239.77.0.73:5146$720x576
宁夏卫视,http://113.66.41.152:10000/rtp/239.77.0.73:5146$720x576
青海卫视,http://113.87.227.200:5000/rtp/239.77.0.71:5146$720x576
青海卫视,http://113.87.227.200:5000/rtp/239.77.1.70:5146$720x576
青海卫视,http://113.87.227.200:5000/rtp/239.253.43.125:5146$1920x1080
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8?_upt=1da074361609506578$1280x720
山东卫视,http://113.87.227.200:5000/rtp/239.77.0.94:5146$1920x1080
山西卫视,http://183.31.11.72:8000/rtp/239.77.0.69:5146$720x576
山西卫视,http://113.87.227.200:5000/rtp/239.77.1.74:5146$720x576
山西卫视,http://113.103.253.56:2000/rtp/239.77.0.69:5146$720x576
山西卫视,http://113.94.58.61:10010/rtp/239.77.0.69:5146$720x576
山西卫视,http://113.66.41.152:10000/rtp/239.77.0.69:5146$720x576
山西卫视,http://113.87.227.200:5000/rtp/239.77.0.69:5146$720x576
山西卫视,http://80ec27bff7f9ae80b961481da488e302.livehwc3.cn/liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=d04ce01474da4193c8863ea281ec4759$1280x720
陕西卫视,http://113.87.227.200:5000/rtp/239.77.0.68:5146$720x576
陕西卫视,http://113.66.41.152:10000/rtp/239.77.0.68:5146$720x576
陕西卫视,http://113.103.253.56:2000/rtp/239.77.0.68:5146$720x576
陕西卫视,http://113.94.58.61:10010/rtp/239.77.0.68:5146$720x576
陕西卫视,http://113.87.227.200:5000/rtp/239.77.1.54:5146$720x576
四川卫视,http://183.31.11.72:8000/rtp/239.77.0.163:5146$1920x1080
四川卫视,http://113.87.227.200:5000/rtp/239.77.0.159:5146$1920x1080
三沙卫视,http://113.87.227.200:5000/rtp/239.253.43.113:5146$1920x1080
三沙卫视,http://113.87.227.200:5000/rtp/239.77.1.117:5146$720x576
天津卫视,http://113.66.41.152:10000/rtp/239.77.1.182:5146$1920x1080
天津卫视,http://113.87.227.200:5000/rtp/239.77.0.97:5146$1920x1080
西藏卫视,http://183.31.11.72:8000/rtp/239.77.0.74:5146$720x576
西藏卫视,http://113.66.41.152:10000/rtp/239.77.0.74:5146$720x576
西藏卫视,http://113.94.58.61:10010/rtp/239.77.0.74:5146$720x576
西藏卫视,http://113.87.227.200:5000/rtp/239.77.0.74:5146$720x576
西藏卫视,http://113.87.227.200:5000/rtp/239.77.1.49:5146$720x576
新疆卫视,http://183.31.11.72:8000/rtp/239.77.0.75:5146$720x576
新疆卫视,http://113.66.41.152:10000/rtp/239.77.0.75:5146$720x576
新疆卫视,http://113.94.58.61:10010/rtp/239.77.0.75:5146$720x576
新疆卫视,http://113.87.227.200:5000/rtp/239.77.0.75:5146$720x576
新疆卫视,http://113.87.227.200:5000/rtp/239.77.1.53:5146$720x576
云南卫视,http://113.87.227.200:5000/rtp/239.253.43.37:5146$1920x1080
港·澳·台,#genre#
翡翠台,http://113.83.152.56:8182/bynumber/1$1920x1080
凤凰中文,http://ayolee.com:5253/udp/239.93.0.162:2192$1920x1080
凤凰中文,http://pi.0472.org/tv/cbn.php?id=xfjcHD$1280x720
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8?$1920x1080
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8?$1920x1080
